프로그램;;first_name;last_name;nation;affiliation;image_path;
Best Article in JOMES;;Su-Min;Jeong;Korea;Seoul National University, Korea;/special_lecture/Best_Articles_in_JOMES_1.png;/special_lecture/Best_Articles_Jomes.pdf
Best Article in JOMES;;Jung Eun;Lee;Korea;Seoul National University, Korea;/special_lecture/Best_Articles_in_JOMES_2.png;/special_lecture/Best_Articles_Jomes-2.pdf
Best Article in JOMES;;Yun-A;Shin;Korea;Dankook University, Korea;/special_lecture/Best_Articles_in_JOMES-3.png;/special_lecture/Best_Articles_Jomes-3.pdf
Best Article in JOMES;;Jieun;Lee;Korea;Inje University, Korea;/special_lecture/Best_Articles_in_JOMES-4.png;/special_lecture/Best_Articles_Jomes-4.pdf
Joint Symposium KSSO-JKT (Basic);;Hisanori;Goto;Japan;Kanazawa University, Japan;/joint_symposium/Joint_Symposium_KSSO-JKT_Basic_1.png;/joint_symposium/Joint_JKT_Basic.pdf
Joint Symposium KSSO-JKT (Basic);;Chia-Wen;Lu;Taiwan;National Taiwan University, Taiwan ;/joint_symposium/Joint_Symposium_KSSO-JKT_Basic_2.png;/joint_symposium/Joint_JKT_Basic-2.pdf
Joint Symposium KSSO-JKT (Basic);;Eun Hee;Koh;Korea;University of Ulsan, Korea;/joint_symposium/Joint_Symposium_KSSO-JKT_Basic_3.png;/joint_symposium/Joint_JKT_Basic-3.pdf
Committee Session 2;;Ga Eun;Nam;Korea;Korea University, Korea;/breakfast/Breakfast_Symposium_3.png;/breakfast/BK3.pdf
Committee Session 2;;Yeongkeun;kwon;Korea;Korea University, Korea;/special_lecture/Committee_Session_2-2.png;/TBD.pdf
Committee Session 2;;Ah-Ram ;Sul;Korea;NECA, Korea;/special_lecture/Committee_Session_2-3.png;/TBD.pdf
Joint Symposium KSSO-JKT (Clinical);;Jae Seung;Lee;Korea;Yonsei University, Korea;/joint_symposium/Joint_Symposium_KSSO-JKT_Clinical_1.png;/joint_symposium/Joint_Symposium_KSSO-JKT_Clinical.pdf
Joint Symposium KSSO-JKT (Clinical);;Chun-Jen;Liu;Taiwan;National Taiwan University, Taiwan;/joint_symposium/Joint_Symposium_KSSO-JKT_Clinical_2.png;/joint_symposium/Joint_Symposium_KSSO-JKT_Clinical-2.pdf
Joint Symposium KSSO-JKT (Clinical);;Masato;Furuhashi;Japan;Sapporo Medical University, Japan;/joint_symposium/Joint_Symposium_KSSO-JKT_Clinical_3.png;/joint_symposium/Joint_Symposium_KSSO-JKT_Clinical-3.pdf
Joint Symposium KSSO-KSoLA-KDA;;Seo Young;Kang;Korea;Eulji University, Korea;/joint_symposium/Joint_Symposium_KSSO-KSoLA-KDA_1.png;/joint_symposium/Joint_KSSO-KSOLA-KDA.pdf
Joint Symposium KSSO-KSoLA-KDA;;Dong-Hyuk;Cho;Korea;Korea University, Korea;/joint_symposium/Joint_Symposium_KSSO-KSoLA-KDA_2.png;/joint_symposium/Joint_KSSO-KSOLA-KDA-2.pdf
Joint Symposium KSSO-KSoLA-KDA;;Jae-Han;Jeon;Korea;Kyungpook National University, Korea;/joint_symposium/Joint_Symposium_KSSO-KSoLA-KDA_3.png;/joint_symposium/Joint_KSSO-KSOLA-KDA-3.pdf
Satellite Symposium 1;;Eun Young;Lee;Korea;The Catholic University of Korea, Korea;/special_lecture/Satellite_Symposium_1.png;/special_lecture/ST1.pdf
Satellite Symposium 3;;Jung Hwan;Park;Korea;Hanyang University, Korea;/special_lecture/Satellite_Symposium_3.png;/special_lecture/ST2.pdf
Satellite Symposium 2;;Se Hee;Min;Korea;University of Ulsan, Korea;/special_lecture/Satellite_Symposium_2.jpg;/special_lecture/ST3.pdf
Special Session for Publication;;Claire;Greenhill;UK;Springer Nature, UK;/special_lecture/special_session_for_publication.png;/special_lecture/Special_publication.pdf
Breakfast Symposium 2;;Young Sang;Lyu;Korea;Chosun University, Korea;/breakfast/Breakfast_Symposium_2.png;/breakfast/BK2.pdf
Keynote Lecture 1;;Joel K.;Elmquist;USA;UT Southwestern Medical Center, USA;/keynote_lecture/Keynote_Lecture_1.png;/keynote_lecture/KEYNOTE_1.pdf
Symposium 1 - 2;;Yoon Jung;Park;Korea;Ewha Womans University, Korea;/symposium_1/Symposium_1-2.png;/symposium_1/SYM1-2.pdf
Symposium 2;;Chih-Yen;Chen;Taiwan;National Yang Ming Chiao Tung University, Taiwan;/symposium_2/Symposium_2-1.png;/symposium_2/SYM2.pdf
Symposium 2;;Teppei;Fujikawa;USA;UT Southwestern Medical Center, USA;/symposium_2/Symposium_2-2.png;/symposium_2/SYM2-2.pdf
Symposium 2;;Ki Woo;Kim;Korea;Yonsei University, Korea;/symposium_2/Symposium_2-3.png;/symposium_2/SYM2-3.pdf
Symposium 3;;Sang Youl;Rhee;Korea;Kyung Hee University, Korea;/symposium_3/Symposium_3-1.png;/symposium_3/SYM3.pdf
Symposium 3;;Hyung Jin;Choi;Korea;Seoul National University, Korea;/symposium_3/Symposium_3-2.png;/symposium_3/SYM3-2.pdf
Symposium 3;;Min Kyu;Han;Korea;Kakao Healthcare Corp., Korea;/symposium_3/Symposium_3-3.png;/symposium_3/SYM3-3.pdf
Symposium 4 -3;;Gary;Sweeney;Canada;York University, Canada;/symposium_4/Symposium_4-3.png;/symposium_4/SYM4-3.pdf
Sponsored Session 1;;Filip K.;Knop;Denmark;Novo Nordisk/ University of Copenhagen, Denmark;/sponsored_session/Sponsored_Session_1-1.png;/sponsored_session/sponsor-1.pdf
Sponsored Session 1;;Sang Yeoup;Lee;Korea;Pusan National University, Korea;/sponsored_session/Sponsored_Session_1-2.png;/sponsored_session/sponsor-1-2.pdf
Sponsored Session 1;;Darae;Kim;Korea;Sungkyunkwan University, Korea;/sponsored_session/Sponsored_Session_1-3.png;/sponsored_session/sponsor-1-3.pdf
