프로그램;program_idx;speaker_idx;contents_title;speaker;start_time;end_time
Keynote 1;14;1;;Joel K Elmquist (Departments of Internal Medicine and Pharmacology, Center for Hypothalamic Research, University of Texas Southwestern, Dallas, TX);2024-09-06 8:30;2024-09-06 9:10
Keynote 2;21;2;Sarcopenia, obesity, and metabolic diseases;William Evans(UC Berkeley );2024-09-06 11:10;2024-09-06 11:50
Keynote 3;34;3;Management of Youth Type 2 Diabetes: New Pharmacotherapeutic Modalities;Silva Arslanian(University of Pittsburgh);2024-09-06 15:40;2024-09-06 16:20
Keynote 4;44;4;Lifestyle and cardiometabolic risk;Jean-Pierre Després(Quebec Heart and Lung Institute Université Laval, Quebec);2024-09-07 8:30;2024-09-07 9:10
Keynote 5;57;5;Incretin-based therapy;Michael A Nauck(Division of Diabetology, Medical Department I, St. Josef-Hospital (Ruhr-University Bochum), Gudrunstr. 56, D-44791 Bochum`);2024-09-07 13:50;2024-09-07 14:30
Keynote 6;58;6;;Michael D. Jensen(Mayo Clinic, Endocrine Research Unit);2024-09-07 14:30;2024-09-07 15:10
Keynote 7;64;7;Semaglutide;W Timothy Garvey(UAB Diabetes Research Center, University of Alabama at Birmingham, Birmingham, AL);2024-09-07 17:00;2024-09-07 17:40
Presidential Lecture;50;8;Fatty liver;Cheol-Young Park(Sungkyunkwan University);2024-09-07 11:10;2024-09-07 11:40
Symposium 1;15;9;Obesity Phenotypes and Precision Medicine;Jean-Pierre Després (VITAM – Research Centre on Sustainable Health, Canada);2024-09-06 9:20;2024-09-06 9:45
Symposium 1;15;10;;Yoon Jung Park (Ewha Womans University, Korea);2024-09-06 9:45;2024-09-06 10:10
Symposium 1;15;11;;;2024-09-06 10:10;2024-09-06 10:35
Symposium 1;15;;Panel Discussion;;2024-09-06 10:35;2024-09-06 10:50
Symposium 2;16;12;Cross-talk between the gut (microbiota) and peripheral organs in obesity;Chin-Yen Chen(National Yang Ming Chiao Tung University School of Medicine);2024-09-06 9:20;2024-09-06 9:45
Symposium 2;16;13;;Teppei Fujikawa;2024-09-06 9:45;2024-09-06 10:10
Symposium 2;16;14;;김기우(연세의대);2024-09-06 10:10;2024-09-06 10:35
Symposium 2;16;;Panel Discussion;;2024-09-06 10:35;2024-09-06 10:50
Symposium 3;17;15;Possibility of digital therapeutics for treatment and management of metabolic diseases;Sang Youl Rhee( Kyung Hee University);2024-09-06 9:20;2024-09-06 9:45
Symposium 3;17;16;Pathopsychologicall basis for the effectiveness of digital therapeutics for metabolic diseases ;Hyung Jin Choi(Seoul National University);2024-09-06 9:45;2024-09-06 10:10
Symposium 3;17;17;Suggestions for Integrating Digital Therapeutics into Conventional Medical Settings ;Min Kyu Han(Kakao Healthcare);2024-09-06 10:10;2024-09-06 10:35
Symposium 3;17;;Panel Discussion;;2024-09-06 10:35;2024-09-06 10:50
Symposium 4;18;18;;Michael D. Jensen(Mayo Clinic, Endocrine Research Unit);2024-09-06 9:20;2024-09-06 9:45
