program_name;;program_place_idx;program_category_idx;program_date;start_time;end_time
Symposium 1;;1;8;2024-11-29;2024-11-29 9:00;2024-11-29 10:40
Symposium 2;;2;8;2024-11-29;2024-11-29 9:00;2024-11-29 10:40
Plenary Lecture 1;;3;5;2024-11-29;2024-11-29 11:10;2024-11-29 11:50
Luncheon Symposium 1;;1;12;2024-11-29;2024-11-29 11:50;2024-11-29 13:00
Luncheon Symposium 2;;2;12;2024-11-29;2024-11-29 11:50;2024-11-29 13:00
Symposium 3;;1;8;2024-11-29;2024-11-29 13:00;2024-11-29 14:40
Symposium 4;;2;8;2024-11-29;2024-11-29 13:00;2024-11-29 14:40
Plenary Lecture 2;;3;5;2024-11-29;2024-11-29 15:00;2024-11-29 15:40
Symposium 5;;2;8;2024-11-29;2024-11-29 15:40;2024-11-29 17:20
Symposium 6;;1;8;2024-11-29;2024-11-29 15:40;2024-11-29 17:20
Satellite Symposium 1;;1;13;2024-11-29;2024-11-29 17:20;2024-11-29 18:00
Satellite Symposium 2;;2;13;2024-11-29;2024-11-29 17:20;2024-11-29 18:00
Breakfast Symposium 1;;1;11;2024-11-30;2024-11-30 7:00;2024-11-30 8:00
Breakfast Symposium 2;;2;11;2024-11-30;2024-11-30 7:00;2024-11-30 8:00
Symposium 7;;1;8;2024-11-30;2024-11-30 8:30;2024-11-30 10:10
Symposium 8;;2;8;2024-11-30;2024-11-30 8:30;2024-11-30 10:10
Plenary Lecture 3;;3;5;2024-11-30;2024-11-30 10:30;2024-11-30 11:10
Symposium 9;;1;8;2024-11-30;2024-11-30 11:10;2024-11-30 12:50
Symposium 10;;2;8;2024-11-30;2024-11-30 11:10;2024-11-30 12:50
Luncheon Symposium 3;;1;12;2024-11-30;2024-11-30 12:50;2024-11-30 13:50
Luncheon Symposium 4;;2;12;2024-11-30;2024-11-30 12:50;2024-11-30 13:50
Symposium 11;;1;8;2024-11-30;2024-11-30 13:50;2024-11-30 15:00
Symposium 12;;2;8;2024-11-30;2024-11-30 13:50;2024-11-30 15:00
Plenary Lecture 4;;3;5;2024-11-30;2024-11-30 15:20;2024-11-30 16:00
Satellite Symposium 3;;1;8;2024-11-30;2024-11-30 16:00;2024-11-30 17:40
Satellite Symposium 4;;2;8;2024-11-30;2024-11-30 16:00;2024-11-30 17:40
